"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"W3","pHILIC_309.1649_15.6",-0.988662131519274,6.04533861536635e-18,1.02166222599691e-15,"309.1649_15.6","Fructoselysine","C16488",NA,NA,NA,"-2.372591014","pHILIC",3e+05,"[M+H]+","YES","Y","Carbohydrate","Pentose Metabolism","Fructoselysine",352298.913520897
"SugAdd","nHILIC_425.0806_12.4",0.967301666813349,2.20320395043634e-13,3.72341467623741e-11,"425.0806_12.4","Cysteineglutathione disulfide",NA,"HMDB00656","13081-14-6","HMDB","-0.058861097","nHILIC",2e+05,"[M-H]-","YES","Y","Amino Acid","Glutathione Metabolism","Cysteineglutathione disulfide",216241.172901529
"SolFib","nHILIC_224.0617_4.8",0.965986394557823,3.25053595417298e-13,5.49340576255234e-11,"224.0617_4.8","Androstenediol (3beta,17beta) disulfate","C04295","HMDB03818",NA,NA,"4.106181136","nHILIC",2e+06,"[M-H]2-","YES","Y","Lipid","Androgenic Steroids","Androstenediol (3beta,17beta) disulfate",2293139.04003664
"VitB1","nHILIC_700.5312_4.5",-0.963718820861678,6.13977752715902e-13,1.03762240208987e-10,"700.5312_4.5","PE(P-34:1)",NA,NA,NA,NA,"3.620182032","nHILIC",60000,"[M-H]-","YES","Y",NA,NA,"PE(P-34:1)",90648.3953498471
"Energy","nHILIC_716.5258_4.7",0.961451247165533,1.11518896808712e-12,1.88466935606722e-10,"716.5258_4.7","PE(34:1)",NA,NA,NA,NA,"3.101006855","nHILIC",60000,"[M-H]-","YES","Y",NA,NA,"PE(34:1)",91053.0190201835
"Fluor","pHILIC_732.5525_5.1",-0.96031746031746,1.48317181312368e-12,2.50656036417902e-10,"732.5525_5.1","PC(32:1)",NA,NA,NA,NA,"-1.756540765","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"PC(32:1)",4487452.58646876
"Biot","pRPLC_647.5116_11.7",-0.959183673469388,1.95653109771107e-12,3.30653755513171e-10,"647.5116_11.7","SM(d18:1/12:0)","C00550","HMDB12096",NA,"HMDB","-1.012407775","pRPLC",2e+05,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/12:0)",327144.231265851
"Moly","nRPLC_230.9968_4.1",0.959183673469388,1.95653109771107e-12,3.30653755513171e-10,"230.9968_4.1","methyl-4-hydroxybenzoate sulfate",NA,NA,NA,NA,"-0.339123346","nRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","methyl-4-hydroxybenzoate sulfate",91039.7637821203
"Folate","nRPLC_204.0666_4.3",0.958049886621315,2.56111285915284e-12,3.62919841163927e-10,"204.0666_4.3","Cinnamoylglycine",NA,"HMDB11621","16534-24-0","HMDB","-0.064479201","nRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Food Component/Plant","Cinnamoylglycine",37753.5388229867
"Folate","pHILIC_189.1345_14.4",-0.95578231292517,4.29490936288671e-12,3.62919841163927e-10,"189.1345_14.4","Homoarginine","C01924","HMDB00670",NA,NA,"-0.562257817","pHILIC",1e+06,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","Homoarginine",1298649.91589119
"Moly","pHILIC_738.5049_3.9",0.95578231292517,4.29490936288694e-12,3.62919841163947e-10,"738.5049_3.9","PE(36:5)",NA,NA,NA,NA,"-2.623462026","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PE(36:5)",231362.231873159
"Energy","pHILIC_189.1345_14.4",0.950113378684807,1.40138769008636e-11,1.18417259812298e-09,"189.1345_14.4","Homoarginine","C01924","HMDB00670",NA,NA,"-0.562257817","pHILIC",1e+06,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","Homoarginine",1298649.91589119
"Folate","nRPLC_498.2892_10.3",0.947845804988662,2.16517127059517e-11,1.21971314910194e-09,"498.2892_10.3","Tauroursodeoxycholic acid",NA,"HMDB00874","14605-22-2","HMDB","-0.55851986","nRPLC",3e+05,"[M-H]-","YES","Y","Lipid","Secondary Bile Acid Metabolism","Tauroursodeoxycholic acid",1287255.96127625
"VitB2","nHILIC_481.244_5.2",-0.952380952380952,8.88460263326948e-12,1.50149784502254e-09,"481.244_5.2","11-beta-Hydroxyandrosterone-3-glucuronide",NA,"HMDB10351",NA,"HMDB","-0.627917462","nHILIC",70000,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","11-beta-Hydroxyandrosterone-3-glucuronide",74266.6266585525
"Folate","nRPLC_149.0607_4.6",0.943310657596372,4.89065127301311e-11,2.06630016284804e-09,"149.0607_4.6","3-Phenylpropionate (hydrocinnamate)","C05629","HMDB00764",NA,NA,"-0.66345932","nRPLC",70000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","3-Phenylpropionate (hydrocinnamate)",89773.7479554638
"SolFib","nRPLC_230.9968_4.1",0.946712018140589,2.67197389233434e-11,2.25781793902252e-09,"230.9968_4.1","methyl-4-hydroxybenzoate sulfate",NA,NA,NA,NA,"-0.339123346","nRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","methyl-4-hydroxybenzoate sulfate",91039.7637821203
"percent_fat_cal","pHILIC_160.0967_7.5",-0.950113378684807,1.40138769008636e-11,2.36834519624596e-09,"160.0967_7.5","Betonicine","C08269","HMDB29412",NA,NA,"-0.774954111","pHILIC",3e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","Betonicine",877702.942247655
"Fe","nHILIC_716.5258_4.7",-0.950113378684807,1.40138769008636e-11,2.36834519624596e-09,"716.5258_4.7","PE(34:1)",NA,NA,NA,NA,"3.101006855","nHILIC",60000,"[M-H]-","YES","Y",NA,NA,"PE(34:1)",91053.0190201835
"Moly","nHILIC_188.9862_0.9",0.942176870748299,5.93340601587053e-11,3.3424853889404e-09,"188.9862_0.9","Catechol sulfate",NA,"HMDB59724",NA,"HMDB","-0.599978483","nHILIC",6e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Catechol sulfate",5265869.67064882
"Folate","nHILIC_716.5258_4.7",-0.937641723356009,1.23868730976465e-10,4.18676310700452e-09,"716.5258_4.7","PE(34:1)",NA,NA,NA,NA,"3.101006855","nHILIC",60000,"[M-H]-","YES","Y",NA,NA,"PE(34:1)",91053.0190201835
"Mn","pHILIC_738.5403_4.4",-0.945578231292517,3.28249964931621e-11,5.54742440734439e-09,"738.5403_4.4","PC(P-34:4)",NA,NA,NA,NA,"-3.959555601","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-34:4)",258031.155537207
"Folate","nHILIC_188.0023_1.6",0.934240362811791,2.07684189937697e-10,5.84977134991181e-09,"188.0023_1.6","2-Aminophenol sulfate",NA,"HMDB61116",NA,NA,"0.008428144","nHILIC",8e+05,"[M-H]-","YES","Y","Xenobiotics","Chemical","2-Aminophenol sulfate",1302559.29399942
"SolFib","pRPLC_313.1548_3.5",-0.937641723356009,1.23868730976465e-10,6.97793851167419e-09,"313.1548_3.5","Phenylalanylphenylalanine",NA,"HMDB13302","2577-40-4","HMDB","0.40840946","pRPLC",20000,"[M+H]+","YES","Y","Peptide","Dipeptide","Phenylalanylphenylalanine",24994.2125917431
"percent_fat_cal","pHILIC_189.1345_14.4",0.938775510204082,1.03595476093268e-10,8.75381772988111e-09,"189.1345_14.4","Homoarginine","C01924","HMDB00670",NA,NA,"-0.562257817","pHILIC",1e+06,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","Homoarginine",1298649.91589119
"SatFat","pHILIC_298.1139_4.7",-0.942176870748299,5.9334060158704e-11,1.0027456166821e-08,"298.1139_4.7","1-Methylguanosine","C04545","HMDB01563","2140-65-0","HMDB","-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102","pHILIC",60000,"[M+H]+","YES","Y","Nucleotide","""Pyrimidine Metabolism, Uracil containing""","1-Methylguanosine",56831.8762373089
"SolFib","nHILIC_188.9862_0.9",0.929705215419501,3.96957872700352e-10,1.67714701215899e-08,"188.9862_0.9","Catechol sulfate",NA,"HMDB59724",NA,"HMDB","-0.599978483","nHILIC",6e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Catechol sulfate",5265869.67064882
"percent_fat_cal","nHILIC_716.5258_4.7",0.927437641723356,5.40098724441101e-10,3.04255614768487e-08,"716.5258_4.7","PE(34:1)",NA,NA,NA,NA,"3.101006855","nHILIC",60000,"[M-H]-","YES","Y",NA,NA,"PE(34:1)",91053.0190201835
"Fe","pHILIC_189.1345_14.4",-0.929705215419501,3.96957872700359e-10,3.35429402431804e-08,"189.1345_14.4","Homoarginine","C01924","HMDB00670",NA,NA,"-0.562257817","pHILIC",1e+06,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","Homoarginine",1298649.91589119
"percent_pro_cal","nRPLC_407.2804_9.2",-0.934240362811791,2.07684189937705e-10,3.50986280994721e-08,"407.2804_9.2","Cholic Acid",NA,"HMDB0000619",NA,"HMDB","0.258665655","nRPLC",90000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Cholic Acid",368133.99660659
"W3","pHILIC_280.1384_8",-0.928571428571429,4.636139270703e-10,3.91753768374403e-08,"280.1384_8","N-(1-Deoxy-1-fructosyl)valine",NA,"HMDB37844",NA,"HMDB","-2.443407242","pHILIC",90000,"[M+H]+","YES","Y","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","N-(1-Deoxy-1-fructosyl)valine",122188.384102992
"Se","nRPLC_407.2804_9.2",-0.931972789115646,2.8872876679746e-10,4.87951615887708e-08,"407.2804_9.2","Cholic Acid",NA,"HMDB0000619",NA,"HMDB","0.258665655","nRPLC",90000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Cholic Acid",368133.99660659
"VitK","nHILIC_188.9862_0.9",0.930839002267574,3.39001327338598e-10,5.7291224320223e-08,"188.9862_0.9","Catechol sulfate",NA,"HMDB59724",NA,"HMDB","-0.599978483","nHILIC",6e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Catechol sulfate",5265869.67064882
"Chln","nHILIC_224.0617_4.8",0.925170068027211,7.27703664899026e-10,1.08623355129466e-07,"224.0617_4.8","Androstenediol (3beta,17beta) disulfate","C04295","HMDB03818",NA,NA,"4.106181136","nHILIC",2e+06,"[M-H]2-","YES","Y","Lipid","Androgenic Steroids","Androstenediol (3beta,17beta) disulfate",2293139.04003664
"Chln","nHILIC_165.0405_8.5",0.917233560090703,1.9282252389846e-09,1.08623355129466e-07,"165.0405_8.5","Arabonate | Xylonate",NA,NA,NA,NA,"0.252626081586609|0.252626081586609|-4.97718186883818|0.252626081586609|0.252626081586609|0.252626081586609","nHILIC",5e+05,"[M-H]-","YES","Y","Carbohydrate","Pentose Metabolism","Arabonate | Xylonate",591701.938217125
"Chln","nHILIC_716.5258_4.7",-0.920634920634921,1.28578066922166e-09,1.08623355129466e-07,"716.5258_4.7","PE(34:1)",NA,NA,NA,NA,"3.101006855","nHILIC",60000,"[M-H]-","YES","Y",NA,NA,"PE(34:1)",91053.0190201835
"Energy","nRPLC_149.0607_4.6",-0.912698412698413,3.22462242435945e-09,1.23407733275491e-07,"149.0607_4.6","3-Phenylpropionate (hydrocinnamate)","C05629","HMDB00764",NA,NA,"-0.66345932","nRPLC",70000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","3-Phenylpropionate (hydrocinnamate)",89773.7479554638
"Energy","nHILIC_188.9862_0.9",-0.91156462585034,3.65111636909733e-09,1.23407733275491e-07,"188.9862_0.9","Catechol sulfate",NA,"HMDB59724",NA,"HMDB","-0.599978483","nHILIC",6e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Catechol sulfate",5265869.67064882
"Energy","pRPLC_313.1548_3.5",0.91156462585034,3.65111636909737e-09,1.23407733275491e-07,"313.1548_3.5","Phenylalanylphenylalanine",NA,"HMDB13302","2577-40-4","HMDB","0.40840946","pRPLC",20000,"[M+H]+","YES","Y","Peptide","Dipeptide","Phenylalanylphenylalanine",24994.2125917431
"VitB1","nHILIC_746.5159_4.2",-0.919501133786848,1.47463735800856e-09,1.24606856751724e-07,"746.5159_4.2","PE(P-38:6)",NA,NA,NA,NA,"3.865781125","nHILIC",9e+05,"[M-H]-","YES","Y",NA,NA,"PE(P-38:6)",1015193.5966055
"Folate","nRPLC_153.0193_2.1",0.90702947845805,5.90527232894304e-09,1.24748877948922e-07,"153.0193_2.1","Gentisic acid","C00628","HMDB00152","490-79-9","HMDB","-0.186201628","nRPLC",50000,"[M-H]-","YES","Y","Amino Acid","Tyrosine Metabolism","Gentisic acid",69429.248521998
"Folate","nRPLC_455.2472_11",0.90702947845805,5.90527232894304e-09,1.24748877948922e-07,"455.2472_11","Sulfolithocholic acid",NA,"HMDB00907","34669-57-3","HMDB","-0.1746876","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Secondary Bile Acid Metabolism","Sulfolithocholic acid",254661.729426606
"Mg","nHILIC_700.5312_4.5",-0.922902494331066,9.71498265464791e-10,1.6418320686355e-07,"700.5312_4.5","PE(P-34:1)",NA,NA,NA,NA,"3.620182032","nHILIC",60000,"[M-H]-","YES","Y",NA,NA,"PE(P-34:1)",90648.3953498471
"Phos","nHILIC_88.988_11",-0.921768707482993,1.11882231116787e-09,1.89080970587371e-07,"88.988_11","Oxalate (ethanedioate)","C00209","HMDB02329",NA,NA,"-0.317261083","nHILIC",2e+05,"[M-H]-","YES","Y","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","Oxalate (ethanedioate)",185575.736972802
"Fe","pRPLC_313.1548_3.5",-0.91156462585034,3.65111636909733e-09,2.05679555459149e-07,"313.1548_3.5","Phenylalanylphenylalanine",NA,"HMDB13302","2577-40-4","HMDB","0.40840946","pRPLC",20000,"[M+H]+","YES","Y","Peptide","Dipeptide","Phenylalanylphenylalanine",24994.2125917431
"VitB_NE","nHILIC_235.0723_6.5",0.920634920634921,1.28578066922161e-09,2.17296933098452e-07,"235.0723_6.5","L-Formylkynurenine","C02700","HMDB60485",NA,"HMDB","-0.537454362","nHILIC",90000,"[M-H]-","YES","Y","Amino Acid","Tryptophan Metabolism","L-Formylkynurenine",140995.630104424
"Caff","pHILIC_732.5525_5.1",-0.920634920634921,1.28578066922166e-09,2.17296933098461e-07,"732.5525_5.1","PC(32:1)",NA,NA,NA,NA,"-1.756540765","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"PC(32:1)",4487452.58646876
"Folate","nHILIC_194.0458_4.6",0.899092970521542,1.29508871824244e-08,2.43188881536637e-07,"194.0458_4.6","Hydroxyhippurate",NA,NA,NA,NA,"-0.398768376","nHILIC",70000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Hydroxyhippurate",1233088.00717227
"Chln","pRPLC_313.1548_3.5",-0.90702947845805,5.90527232894289e-09,2.49497755897837e-07,"313.1548_3.5","Phenylalanylphenylalanine",NA,"HMDB13302","2577-40-4","HMDB","0.40840946","pRPLC",20000,"[M+H]+","YES","Y","Peptide","Dipeptide","Phenylalanylphenylalanine",24994.2125917431
"Moly","nHILIC_224.0617_4.8",0.905895691609977,6.63414829248326e-09,2.80292765357418e-07,"224.0617_4.8","Androstenediol (3beta,17beta) disulfate","C04295","HMDB03818",NA,NA,"4.106181136","nHILIC",2e+06,"[M-H]2-","YES","Y","Lipid","Androgenic Steroids","Androstenediol (3beta,17beta) disulfate",2293139.04003664
"Retinol","nRPLC_153.0193_2.1",-0.918367346938775,1.68787753413875e-09,2.85251303269449e-07,"153.0193_2.1","Gentisic acid","C00628","HMDB00152","490-79-9","HMDB","-0.186201628","nRPLC",50000,"[M-H]-","YES","Y","Amino Acid","Tyrosine Metabolism","Gentisic acid",69429.248521998
"VitC","pRPLC_313.1548_3.5",-0.918367346938775,1.68787753413875e-09,2.85251303269449e-07,"313.1548_3.5","Phenylalanylphenylalanine",NA,"HMDB13302","2577-40-4","HMDB","0.40840946","pRPLC",20000,"[M+H]+","YES","Y","Peptide","Dipeptide","Phenylalanylphenylalanine",24994.2125917431
"Folate","pHILIC_160.0967_7.5",0.895691609977324,1.77812067615259e-08,3.00502394269788e-07,"160.0967_7.5","Betonicine","C08269","HMDB29412",NA,NA,"-0.774954111","pHILIC",3e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","Betonicine",877702.942247655
"VitC","nRPLC_230.9968_4.1",0.91156462585034,3.65111636909737e-09,3.08519333188727e-07,"230.9968_4.1","methyl-4-hydroxybenzoate sulfate",NA,NA,NA,NA,"-0.339123346","nRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","methyl-4-hydroxybenzoate sulfate",91039.7637821203
"SolFib","nHILIC_835.537_5.2",-0.901360544217687,1.04183213714197e-08,3.52139262353987e-07,"835.537_5.2","PI(34:1)",NA,NA,NA,NA,"3.348071426","nHILIC",3e+05,"[M-H]-","YES","Y",NA,NA,"PI(34:1)",345572.869811417
"percent_fat_cal","pHILIC_790.5707_2",0.903628117913832,8.33673655230802e-09,3.52227119335014e-07,"790.5707_2","PC(P-38:6)",NA,NA,NA,NA,"-4.838662612","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-38:6)",36436730.7765017
"Energy","nHILIC_224.0617_4.8",-0.897959183673469,1.44118620355369e-08,4.05934114000957e-07,"224.0617_4.8","Androstenediol (3beta,17beta) disulfate","C04295","HMDB03818",NA,NA,"4.106181136","nHILIC",2e+06,"[M-H]2-","YES","Y","Lipid","Androgenic Steroids","Androstenediol (3beta,17beta) disulfate",2293139.04003664
"Mn","nHILIC_777.5678_4.3",-0.908163265306123,5.24865119087879e-09,4.43511025629258e-07,"777.5678_4.3","PG(36:0)",NA,NA,NA,NA,"3.46095331","nHILIC",3e+05,"[M-H]-","YES","Y",NA,NA,"PG(36:0)",362565.102202854
"Folate","nHILIC_188.9862_0.9",0.890022675736961,2.94612956655647e-08,4.52632633407312e-07,"188.9862_0.9","Catechol sulfate",NA,"HMDB59724",NA,"HMDB","-0.599978483","nHILIC",6e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Catechol sulfate",5265869.67064882
"VitC","nHILIC_133.0506_2.3",0.903628117913832,8.33673655230802e-09,4.69636159113352e-07,"133.0506_2.3","2,3-Dihydroxyvaleric acid","C04039","HMDB00421","26386-47-0","HMDB","-0.214892254","nHILIC",70000,"[M-H]-","YES","Y","Cofactors and Vitamins","Pantothenate and CoA Metabolism","2,3-Dihydroxyvaleric acid",362197.295723164
"VitA_IU","pRPLC_169.0971_1.6",-0.913832199546485,2.8431415112755e-09,4.80490915405559e-07,"169.0971_1.6","Cyclo(ala-pro)",NA,NA,NA,NA,"-0.47593602","pRPLC",40000,"[M+H]+","YES","Y","Peptide","Dipeptide","Cyclo(ala-pro)",44332.49660316
"Moly","pRPLC_313.1548_3.5",-0.897959183673469,1.44118620355369e-08,4.87120936801148e-07,"313.1548_3.5","Phenylalanylphenylalanine",NA,"HMDB13302","2577-40-4","HMDB","0.40840946","pRPLC",20000,"[M+H]+","YES","Y","Peptide","Dipeptide","Phenylalanylphenylalanine",24994.2125917431
"VitC","pHILIC_189.1345_14.4",-0.900226757369615,1.16233036160674e-08,4.9108457777885e-07,"189.1345_14.4","Homoarginine","C01924","HMDB00670",NA,NA,"-0.562257817","pHILIC",1e+06,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","Homoarginine",1298649.91589119
"VitK","nHILIC_133.0506_2.3",0.895691609977324,1.77812067615259e-08,6.01004788539576e-07,"133.0506_2.3","2,3-Dihydroxyvaleric acid","C04039","HMDB00421","26386-47-0","HMDB","-0.214892254","nHILIC",70000,"[M-H]-","YES","Y","Cofactors and Vitamins","Pantothenate and CoA Metabolism","2,3-Dihydroxyvaleric acid",362197.295723164
"VitK","nHILIC_224.0617_4.8",0.901360544217687,1.04183213714196e-08,6.01004788539576e-07,"224.0617_4.8","Androstenediol (3beta,17beta) disulfate","C04295","HMDB03818",NA,NA,"4.106181136","nHILIC",2e+06,"[M-H]2-","YES","Y","Lipid","Androgenic Steroids","Androstenediol (3beta,17beta) disulfate",2293139.04003664
"VitK","nRPLC_230.9968_4.1",0.896825396825397,1.60178206537114e-08,6.01004788539576e-07,"230.9968_4.1","methyl-4-hydroxybenzoate sulfate",NA,NA,NA,NA,"-0.339123346","nRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","methyl-4-hydroxybenzoate sulfate",91039.7637821203
"VitK","pRPLC_313.1548_3.5",-0.900226757369615,1.16233036160674e-08,6.01004788539576e-07,"313.1548_3.5","Phenylalanylphenylalanine",NA,"HMDB13302","2577-40-4","HMDB","0.40840946","pRPLC",20000,"[M+H]+","YES","Y","Peptide","Dipeptide","Phenylalanylphenylalanine",24994.2125917431
"Chln","nHILIC_133.0506_2.3",0.895691609977324,1.77812067615259e-08,6.01004788539576e-07,"133.0506_2.3","2,3-Dihydroxyvaleric acid","C04039","HMDB00421","26386-47-0","HMDB","-0.214892254","nHILIC",70000,"[M-H]-","YES","Y","Cofactors and Vitamins","Pantothenate and CoA Metabolism","2,3-Dihydroxyvaleric acid",362197.295723164
"MonoFat","pRPLC_730.4663_11.3",-0.91156462585034,3.65111636909733e-09,6.17038666377448e-07,"730.4663_11.3","PS(32:3)",NA,NA,NA,NA,"1.283261944","pRPLC",50000,"[M+H]+","YES","Y",NA,NA,"PS(32:3)",88801.3255105558
"TransFat","nHILIC_742.5417_4.6",-0.910430839002268,4.1272193963309e-09,6.28862395591392e-07,"742.5417_4.6","PE(36:2)",NA,NA,NA,NA,"3.328645545","nHILIC",4e+06,"[M-H]-","YES","Y",NA,NA,"PE(36:2)",4361437.97657492
"TransFat","nRPLC_397.2054_9.6",-0.904761904761905,7.44215852770878e-09,6.28862395591392e-07,"397.2054_9.6","Pregnanolone sulfate",NA,NA,NA,NA,"2.198993262","nRPLC",2e+06,"[M-H]-","YES","Y","Lipid","Progestin Steroids","Pregnanolone sulfate",2492431.77938838
"Se","nHILIC_128.0352_7.6",0.904761904761905,7.44215852770883e-09,6.28862395591396e-07,"128.0352_7.6","5-oxoproline","C01879","HMDB00267",NA,NA,"-0.929926331","nHILIC",6e+06,"[M-H]-","YES","Y","Amino Acid","Glutathione Metabolism","5-oxoproline",6764532.29940877
"Moly","nHILIC_235.0723_6.5",0.891156462585034,2.66906175836046e-08,6.44387767375597e-07,"235.0723_6.5","L-Formylkynurenine","C02700","HMDB60485",NA,"HMDB","-0.537454362","nHILIC",90000,"[M-H]-","YES","Y","Amino Acid","Tryptophan Metabolism","L-Formylkynurenine",140995.630104424
"Moly","pHILIC_130.0863_6.6",0.892290249433107,2.41542238385735e-08,6.44387767375597e-07,"130.0863_6.6","N-methylproline",NA,NA,NA,NA,"0.320726017","pHILIC",2e+06,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","N-methylproline",1724519.39713048
"Disacc","nHILIC_425.0806_12.4",-0.910430839002268,4.1272193963309e-09,6.97500077979923e-07,"425.0806_12.4","Cysteineglutathione disulfide",NA,"HMDB00656","13081-14-6","HMDB","-0.058861097","nHILIC",2e+05,"[M-H]-","YES","Y","Amino Acid","Glutathione Metabolism","Cysteineglutathione disulfide",216241.172901529
"Se","nRPLC_395.1897_10",0.899092970521542,1.29508871824244e-08,7.2956664460991e-07,"395.1897_10","Pregnenolone sulfate",NA,"HMDB00774","1247-64-9","HMDB","-0.163615583","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Progestin Steroids","Pregnenolone sulfate",207310.860395107
"K","nHILIC_121.0505_3.5",0.909297052154195,4.6579247862231e-09,7.87189288871704e-07,"121.0505_3.5","Erythritol|D-Threitol","C00503|C16884","HMDB02994|HMDB04136","149-32-6|2418-52-2","HMDB","-1.05530348","nHILIC",1e+05,"[M-H]-","YES","Y","Xenobiotics","Food Component/Plant","Erythritol|D-Threitol",153641.057403062
"Water","nHILIC_121.0505_3.5",0.908163265306123,5.24865119087885e-09,8.87022051258525e-07,"121.0505_3.5","Erythritol|D-Threitol","C00503|C16884","HMDB02994|HMDB04136","149-32-6|2418-52-2","HMDB","-1.05530348","nHILIC",1e+05,"[M-H]-","YES","Y","Xenobiotics","Food Component/Plant","Erythritol|D-Threitol",153641.057403062
"Chln","nHILIC_188.9862_0.9",0.888888888888889,3.24849656645876e-08,9.14993199552551e-07,"188.9862_0.9","Catechol sulfate",NA,"HMDB59724",NA,"HMDB","-0.599978483","nHILIC",6e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Catechol sulfate",5265869.67064882
"percent_fat_cal","pHILIC_282.119_6.7",0.890022675736961,2.94612956655647e-08,9.95791793496086e-07,"282.119_6.7","N1-methyladenosine","C02494","HMDB03331",NA,NA,"-2.43317140935536|-2.43317140935536|-2.43317140935536|-2.43317140935536|2.32438192199972|-2.43317140935536","pHILIC",5e+05,"[M+H]+","YES","Y","Nucleotide","""Purine Metabolism, Adenine containing""","N1-methyladenosine",543272.488946279
"VitC","nHILIC_716.5258_4.7",-0.890022675736961,2.94612956655647e-08,9.95791793496086e-07,"716.5258_4.7","PE(34:1)",NA,NA,NA,NA,"3.101006855","nHILIC",60000,"[M-H]-","YES","Y",NA,NA,"PE(34:1)",91053.0190201835
"Energy","nHILIC_188.0023_1.6",-0.885487528344671,4.3280327306583e-08,1.04491075925893e-06,"188.0023_1.6","2-Aminophenol sulfate",NA,"HMDB61116",NA,NA,"0.008428144","nHILIC",8e+05,"[M-H]-","YES","Y","Xenobiotics","Chemical","2-Aminophenol sulfate",1302559.29399942
"VitB3","nRPLC_117.0557_0.6",-0.905895691609977,6.63414829248326e-09,1.12117106142967e-06,"117.0557_0.6","L-_-Hydroxyisovaleric acid",NA,"HMDB00407",NA,NA,"-0.120156208","nRPLC",7e+05,"[M-H]-","YES","Y","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","L-_-Hydroxyisovaleric acid",785823.79617737
"percent_pro_cal","nHILIC_128.0352_7.6",0.891156462585034,2.66906175836046e-08,1.1276785929073e-06,"128.0352_7.6","5-oxoproline","C01879","HMDB00267",NA,NA,"-0.929926331","nHILIC",6e+06,"[M-H]-","YES","Y","Amino Acid","Glutathione Metabolism","5-oxoproline",6764532.29940877
"percent_pro_cal","pRPLC_169.0971_1.6",-0.891156462585034,2.66906175836046e-08,1.1276785929073e-06,"169.0971_1.6","Cyclo(ala-pro)",NA,NA,NA,NA,"-0.47593602","pRPLC",40000,"[M+H]+","YES","Y","Peptide","Dipeptide","Cyclo(ala-pro)",44332.49660316
"percent_pro_cal","nRPLC_395.1897_10",0.892290249433107,2.41542238385735e-08,1.1276785929073e-06,"395.1897_10","Pregnenolone sulfate",NA,"HMDB00774","1247-64-9","HMDB","-0.163615583","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Progestin Steroids","Pregnenolone sulfate",207310.860395107
"Zn","nRPLC_351.254_10.3",-0.903628117913832,8.33673655230787e-09,1.40890847734003e-06,"351.254_10.3","MG(18:3)",NA,"HMDB11539",NA,"HMDB","-0.226082185","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(18:3)",65304.7963167176
