"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"Folate","nHILIC_287.052_8.1",-0.659017796336221,5.0094877432395e-15,8.46603428607475e-13,"287.052_8.1","Orotidine","C01103","HMDB00788","314-50-1","HMDB","-0.29636261","nHILIC",1e+05,"[M-H]-","YES","Y","Nucleotide","""Pyrimidine Metabolism, Orotate containing""","Orotidine",108933.221253313
"W3","pHILIC_776.5554_3",0.637100185083507,7.29393328945489e-14,1.23267472591788e-11,"776.5554_3","PE(P-40:6)",NA,NA,NA,NA,"-4.474728145","pHILIC",1e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-40:6)",2494677.80316315
"Phos","pHILIC_229.1181_10.9",-0.632433214318411,1.25528429873506e-13,2.12143046486224e-11,"229.1181_10.9","pro-hydroxy-pro",NA,"HMDB06695",NA,NA,"-0.819820822","pHILIC",3e+05,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","pro-hydroxy-pro",307135.236847706
"TransFat","nRPLC_407.2804_9.2",0.62448040726996,3.10078771175022e-13,5.24033123285788e-11,"407.2804_9.2","Cholic Acid",NA,"HMDB0000619",NA,"HMDB","0.258665655","nRPLC",90000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Cholic Acid",368133.99660659
"W3","nRPLC_498.2892_10.3",0.603113444405391,3.11331455803098e-12,2.63075080153617e-10,"498.2892_10.3","Tauroursodeoxycholic acid",NA,"HMDB00874","14605-22-2","HMDB","-0.55851986","nRPLC",3e+05,"[M-H]-","YES","Y","Lipid","Secondary Bile Acid Metabolism","Tauroursodeoxycholic acid",1287255.96127625
"Cu","nRPLC_385.332_10.8",-0.605126470480084,2.52360393187236e-12,4.26489064486429e-10,"385.332_10.8","MG(20:0)",NA,"HMDB11542",NA,"HMDB","-0.854067958","nRPLC",10000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(20:0)",18392.7279658512
"TotFib","nHILIC_204.9811_1.1",0.595458529107903,6.82775048455959e-12,1.15388983189057e-09,"204.9811_1.1","1,2,3-benzenetriol sulfate",NA,NA,NA,NA,"-0.624375025449228|-0.624375025449228|-0.624375025449228|-1.95834347547098","nHILIC",3e+05,"[M-H]-","YES","Y","Xenobiotics","Chemical","1,2,3-benzenetriol sulfate",1686972.17354645
"Se","nHILIC_738.511_4.5",0.592867773576795,8.8650115202055e-12,1.49818694691473e-09,"738.511_4.5","PE(36:4)",NA,NA,NA,NA,"4.158300184","nHILIC",4e+05,"[M-H]-","YES","Y",NA,NA,"PE(36:4)",433102.703465851
"VitB1","nRPLC_415.3217_11.4",-0.575012322564494,5.04127827740328e-11,8.51976028881155e-09,"415.3217_11.4","Dihydroxyvitamin D3",NA,"HMDB00430",NA,"HMDB","-0.048038933","nRPLC",3e+05,"[M-H]-","YES","Y","Cofactors and Vitamins","Vitamin D Metabolism","Dihydroxyvitamin D3",352330.728501529
"Caroten","nRPLC_283.1088_9.6",0.567673353063483,9.99602502322651e-11,1.68932822892528e-08,"283.1088_9.6","gamma-glutamylhistidine",NA,NA,NA,NA,"-0.043601897","nRPLC",2e+05,"[M-H]-","YES","Y","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamylhistidine",191992.89332212
"TotFib","pHILIC_282.119_6.7",-0.560036491811508,2.00229643935941e-10,1.6919404912587e-08,"282.119_6.7","N1-methyladenosine","C02494","HMDB03331",NA,NA,"-2.43317140935536|-2.43317140935536|-2.43317140935536|-2.43317140935536|2.32438192199972|-2.43317140935536","pHILIC",5e+05,"[M+H]+","YES","Y","Nucleotide","""Purine Metabolism, Adenine containing""","N1-methyladenosine",543272.488946279
"W3","pHILIC_750.5399_3.1",0.552516981855367,3.90126437597596e-10,2.19771226513312e-08,"750.5399_3.1","PE(P-38:5)",NA,NA,NA,NA,"-4.429831219","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-38:5)",5125911.92798879
"W3","pRPLC_310.3104_11.1",0.54664941706366,6.49079328648051e-10,2.74236016353802e-08,"310.3104_11.1","Oleoyl Ethyl Amide",NA,NA,NA,NA,"-0.145084214","pRPLC",1e+05,"[M+H]+","YES","Y","Lipid","Long Chain Fatty Acid","Oleoyl Ethyl Amide",180217.381895923
"VitB_NE","nRPLC_283.1088_9.6",0.559612221741954,2.08001106851124e-10,3.515218705784e-08,"283.1088_9.6","gamma-glutamylhistidine",NA,NA,NA,NA,"-0.043601897","nRPLC",2e+05,"[M-H]-","YES","Y","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamylhistidine",191992.89332212
"VitC","nRPLC_371.1881_9.5",-0.558429681760856,2.31225699027474e-10,3.90771431356431e-08,"371.1881_9.5","5alpha-Androstan-3alpha,17alpha-diol monosulfate",NA,NA,NA,NA,"4.58359800172553|4.58359800172553|4.58359800172553|4.58359800172553|4.58359800172553|4.58359800172553|0.990313205912641|0.990313205912641|4.58359800172553|4.58359800172553|4.58359800172553","nRPLC",1e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","5alpha-Androstan-3alpha,17alpha-diol monosulfate",267847.509900224
"Se","pHILIC_229.1181_10.9",-0.545259255559163,7.31235103702701e-10,6.17893662628782e-08,"229.1181_10.9","pro-hydroxy-pro",NA,"HMDB06695",NA,NA,"-0.819820822","pHILIC",3e+05,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","pro-hydroxy-pro",307135.236847706
"Na","nRPLC_415.3217_11.4",0.541540122183497,1.0031695882438e-09,8.47678302066008e-08,"415.3217_11.4","Dihydroxyvitamin D3",NA,"HMDB00430",NA,"HMDB","-0.048038933","nRPLC",3e+05,"[M-H]-","YES","Y","Cofactors and Vitamins","Vitamin D Metabolism","Dihydroxyvitamin D3",352330.728501529
"Na","pHILIC_212.1026_7.4",0.547037579042188,6.27773870225151e-10,8.47678302066008e-08,"212.1026_7.4","N-acetyl-1-methylhistidine",NA,NA,NA,NA,"-1.758906829","pHILIC",1e+05,"[M+H]+","YES","Y","Amino Acid","Histidine Metabolism","N-acetyl-1-methylhistidine",178249.095723038
"Cu","nRPLC_439.3792_11.1",-0.540745744180928,1.07272390253675e-09,9.06451697643557e-08,"439.3792_11.1","MG(24:1)",NA,"HMDB11559",NA,"HMDB","-0.182003771","nRPLC",40000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(24:1)",48871.7068565036
"VitB6","nRPLC_283.1088_9.6",0.546279309130645,6.70040327100152e-10,1.13236815279926e-07,"283.1088_9.6","gamma-glutamylhistidine",NA,NA,NA,NA,"-0.043601897","nRPLC",2e+05,"[M-H]-","YES","Y","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamylhistidine",191992.89332212
"Na","nHILIC_87.045_4.2",0.532765856064207,2.0834929931259e-09,1.17370105279426e-07,"87.045_4.2","Butyric acid|Isobutyric acid","C00246|C02632","HMDB00039|HMDB01873","107-92-6|79-31-2","HMDB","-1.697854956","nHILIC",1e+05,"[M-H]-","YES","Y","Energy","Butanoate metabolism","Butyric acid|Isobutyric acid",121290.778460754
"VitB1","nHILIC_87.045_4.2",-0.536322503030256,1.553179914653e-09,1.31243702788179e-07,"87.045_4.2","Butyric acid|Isobutyric acid","C00246|C02632","HMDB00039|HMDB01873","107-92-6|79-31-2","HMDB","-1.697854956","nHILIC",1e+05,"[M-H]-","YES","Y","Energy","Butanoate metabolism","Butyric acid|Isobutyric acid",121290.778460754
"Phos","nHILIC_738.511_4.5",0.53551909800493,1.66022858421437e-09,1.40289315366115e-07,"738.511_4.5","PE(36:4)",NA,NA,NA,NA,"4.158300184","nHILIC",4e+05,"[M-H]-","YES","Y",NA,NA,"PE(36:4)",433102.703465851
"Se","nHILIC_777.5678_4.3",0.530355640988229,2.53749799823616e-09,1.42945720567304e-07,"777.5678_4.3","PG(36:0)",NA,NA,NA,NA,"3.46095331","nHILIC",3e+05,"[M-H]-","YES","Y",NA,NA,"PG(36:0)",362565.102202854
"Energy","pHILIC_189.1345_14.4",0.54263239193703,9.14574872646996e-10,1.54563153477342e-07,"189.1345_14.4","Homoarginine","C01924","HMDB00670",NA,NA,"-0.562257817","pHILIC",1e+06,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","Homoarginine",1298649.91589119
"W3","nRPLC_514.2838_9.6",0.522484077144585,4.77957976286754e-09,1.61549795984923e-07,"514.2838_9.6","Taurocholic acid","C05122","HMDB00036","81-24-3","HMDB","-1.151754849","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Taurocholic acid",524948.517295107
"Energy","pRPLC_100.0756_1.2",0.527385750501349,3.228354777925e-09,2.33186981058016e-07,"100.0756_1.2","2-Piperidinone",NA,"HMDB11749",NA,NA,"-0.94798216","pRPLC",1e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","2-Piperidinone",234227.215327217
"Energy","pHILIC_282.119_6.7",0.52428948169588,4.13941386493519e-09,2.33186981058016e-07,"282.119_6.7","N1-methyladenosine","C02494","HMDB03331",NA,NA,"-2.43317140935536|-2.43317140935536|-2.43317140935536|-2.43317140935536|2.32438192199972|-2.43317140935536","pHILIC",5e+05,"[M+H]+","YES","Y","Nucleotide","""Purine Metabolism, Adenine containing""","N1-methyladenosine",543272.488946279
"Folate","nRPLC_163.0765_7.4",0.529091857802323,2.81209050178884e-09,2.37621647401157e-07,"163.0765_7.4","Phenylbutyric acid",NA,"HMDB00329","90-27-7","HMDB","0.306989515","nRPLC",60000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Phenylbutyric acid",67820.1628722732
"Se","nRPLC_283.1088_9.6",0.519387808339115,6.10445876061678e-09,2.57913382636059e-07,"283.1088_9.6","gamma-glutamylhistidine",NA,NA,NA,NA,"-0.043601897","nRPLC",2e+05,"[M-H]-","YES","Y","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamylhistidine",191992.89332212
"Cu","nRPLC_377.2696_10.5",-0.52272780675901,4.68791952596512e-09,2.64086133296035e-07,"377.2696_10.5","MG(20:4)",NA,"HMDB04666","53847-30-6","HMDB","-0.342881119","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(20:4)",69317.8171140673
"Mg","nRPLC_327.2538_10.5",-0.536141962575127,1.57664211717539e-09,2.66452517802641e-07,"327.2538_10.5","MG(16:1)",NA,"HMDB11534",NA,"HMDB","-0.851882898","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(16:1)",19787.7690314985
"Folate","nRPLC_204.0666_4.3",0.521897320665415,5.00734801736167e-09,2.82080604978041e-07,"204.0666_4.3","Cinnamoylglycine",NA,"HMDB11621","16534-24-0","HMDB","-0.064479201","nRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Food Component/Plant","Cinnamoylglycine",37753.5388229867
"K","nHILIC_287.052_8.1",-0.53521217923121,1.70296586728473e-09,2.87801231571119e-07,"287.052_8.1","Orotidine","C01103","HMDB00788","314-50-1","HMDB","-0.29636261","nHILIC",1e+05,"[M-H]-","YES","Y","Nucleotide","""Pyrimidine Metabolism, Orotate containing""","Orotidine",108933.221253313
"VitD_IU","pRPLC_153.0658_1.2",0.533785909635688,1.91582463534009e-09,3.23774363372475e-07,"153.0658_1.2","N1-Methyl-2-pyridone-5-carboxamide","C05842","HMDB04193",NA,NA,"-0.378209652","pRPLC",4e+05,"[M+H]+","YES","Y","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","N1-Methyl-2-pyridone-5-carboxamide",478368.264341488
"VitB2","pHILIC_229.1181_10.9",-0.531556235014839,2.30061065596386e-09,3.88803200857893e-07,"229.1181_10.9","pro-hydroxy-pro",NA,"HMDB06695",NA,NA,"-0.819820822","pHILIC",3e+05,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","pro-hydroxy-pro",307135.236847706
"Mg","nRPLC_377.2696_10.5",-0.516986620285894,7.3675309574698e-09,4.15037577270799e-07,"377.2696_10.5","MG(20:4)",NA,"HMDB04666","53847-30-6","HMDB","-0.342881119","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(20:4)",69317.8171140673
"Mg","nRPLC_375.254_10.2",-0.517311593105127,7.18298987486281e-09,4.15037577270799e-07,"375.254_10.2","MG(20:5)",NA,"HMDB11550",NA,"HMDB","-0.211661429","nRPLC",30000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(20:5)",31417.6743969735
"Se","pRPLC_169.0971_1.6",-0.510189272150271,1.2448837621068e-08,4.20770711592099e-07,"169.0971_1.6","Cyclo(ala-pro)",NA,NA,NA,NA,"-0.47593602","pRPLC",40000,"[M+H]+","YES","Y","Peptide","Dipeptide","Cyclo(ala-pro)",44332.49660316
"Cu","nHILIC_287.052_8.1",-0.512418946771119,1.04942750979732e-08,4.43383122889369e-07,"287.052_8.1","Orotidine","C01103","HMDB00788","314-50-1","HMDB","-0.29636261","nHILIC",1e+05,"[M-H]-","YES","Y","Nucleotide","""Pyrimidine Metabolism, Orotate containing""","Orotidine",108933.221253313
"VitB3","nRPLC_283.1088_9.6",0.52968764130425,2.67926268887748e-09,4.52795394420294e-07,"283.1088_9.6","gamma-glutamylhistidine",NA,NA,NA,NA,"-0.043601897","nRPLC",2e+05,"[M-H]-","YES","Y","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamylhistidine",191992.89332212
"Ca","pHILIC_229.1181_10.9",-0.529407803598799,2.740883484108e-09,4.63209308814252e-07,"229.1181_10.9","pro-hydroxy-pro",NA,"HMDB06695",NA,NA,"-0.819820822","pHILIC",3e+05,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","pro-hydroxy-pro",307135.236847706
"Mg","nRPLC_409.3322_11.2",-0.508185273098334,1.44992281814473e-08,6.12592390666149e-07,"409.3322_11.2","MG(22:2)",NA,"HMDB11553",NA,"HMDB","-0.316713371","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(22:2)",23693.7044724771
"Mg","nRPLC_439.3792_11.1",-0.502579491966565,2.20964515048237e-08,7.46860060863041e-07,"439.3792_11.1","MG(24:1)",NA,"HMDB11559",NA,"HMDB","-0.182003771","nRPLC",40000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(24:1)",48871.7068565036
"VitB3","nHILIC_214.0488_7.2",0.513105000500611,9.95454948148022e-09,8.41159431185078e-07,"214.0488_7.2","sn-glycero-3-Phosphoethanolamine","C01233","HMDB00114","1190-00-7","HMDB","0.959298616","nHILIC",4e+05,"[M-H]-","YES","Y","Lipid","Phospholipid Metabolism","sn-glycero-3-Phosphoethanolamine",454333.283883792
"VitA_IU","nRPLC_283.1088_9.6",0.521382780368296,5.21561948977786e-09,8.81439693772458e-07,"283.1088_9.6","gamma-glutamylhistidine",NA,NA,NA,NA,"-0.043601897","nRPLC",2e+05,"[M-H]-","YES","Y","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamylhistidine",191992.89332212
"Fluor","pRPLC_153.0658_1.2",-0.519586402839758,6.00985090450992e-09,1.01566480286218e-06,"153.0658_1.2","N1-Methyl-2-pyridone-5-carboxamide","C05842","HMDB04193",NA,NA,"-0.378209652","pRPLC",4e+05,"[M+H]+","YES","Y","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","N1-Methyl-2-pyridone-5-carboxamide",478368.264341488
"Chln","nRPLC_312.2546_10.4",0.518746889723406,6.41962397741871e-09,1.08491645218376e-06,"312.2546_10.4","Palmitoylglycine",NA,"HMDB13034","158305-64-7","HMDB","0.593781152","nRPLC",10000,"[M-H]-","YES","Y","Lipid","Fatty Acid Metabolism(Acyl Glycine)","Palmitoylglycine",12132.0694067278
"VitB_NE","pRPLC_277.0384_5.1",-0.506343760456014,1.66654540476277e-08,1.40823086702454e-06,"277.0384_5.1","Dihydroferulic acid",NA,NA,NA,NA,"2.70466605368801|3.44210826679891","pRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Food Component/Plant","Dihydroferulic acid",41240.1928245056
"Ca","nHILIC_132.0302_8.3",-0.506109057864345,1.69628462903024e-08,1.43336051153055e-06,"132.0302_8.3","Iminodiacetate (IDA)","C19911","HMDB11753",NA,NA,"-0.208339785","nHILIC",1e+05,"[M-H]-","YES","Y","Xenobiotics","Chemical","Iminodiacetate (IDA)",100900.516711519
"VitE_a_Toco","nRPLC_409.3322_11.2",-0.513520243547409,9.64090448780547e-09,1.62931285843913e-06,"409.3322_11.2","MG(22:2)",NA,"HMDB11553",NA,"HMDB","-0.316713371","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(22:2)",23693.7044724771
"VitB2","nHILIC_243.0621_5.8",-0.503942572402792,1.99587301521774e-08,1.68651269785899e-06,"243.0621_5.8","Pseudouridine","C02067","HMDB00767","1445-07-4","HMDB","-0.639678767","nHILIC",4e+06,"[M-H]-","YES","Y","Nucleotide","""Pyrimidine Metabolism, Uracil containing""","Pseudouridine",3621498.36168909
"TotFib","nRPLC_230.9968_4.1",0.498228466997946,3.04854787516543e-08,1.71734863634319e-06,"230.9968_4.1","methyl-4-hydroxybenzoate sulfate",NA,NA,NA,NA,"-0.339123346","nRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","methyl-4-hydroxybenzoate sulfate",91039.7637821203
"VitC","nRPLC_230.9968_4.1",0.503112086309197,2.12363261159228e-08,1.79446955679547e-06,"230.9968_4.1","methyl-4-hydroxybenzoate sulfate",NA,NA,NA,NA,"-0.339123346","nRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","methyl-4-hydroxybenzoate sulfate",91039.7637821203
"K","pHILIC_189.1345_14.4",-0.500277601163665,2.62126095456169e-08,1.94596599088522e-06,"189.1345_14.4","Homoarginine","C01924","HMDB00670",NA,NA,"-0.562257817","pHILIC",1e+06,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","Homoarginine",1298649.91589119
"K","nRPLC_163.0765_7.4",0.496522359696972,3.45437749861281e-08,1.94596599088522e-06,"163.0765_7.4","Phenylbutyric acid",NA,"HMDB00329","90-27-7","HMDB","0.306989515","nRPLC",60000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Phenylbutyric acid",67820.1628722732
"VitB2","nRPLC_377.2696_10.5",-0.496441116492164,3.47493766285561e-08,1.95754821674199e-06,"377.2696_10.5","MG(20:4)",NA,"HMDB04666","53847-30-6","HMDB","-0.342881119","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(20:4)",69317.8171140673
"VitB2","nRPLC_327.2538_10.5",-0.482413123128607,9.46374798154019e-08,2.66562234813382e-06,"327.2538_10.5","MG(16:1)",NA,"HMDB11534",NA,"HMDB","-0.851882898","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(16:1)",19787.7690314985
"VitB2","nRPLC_355.2852_11",-0.48322555517669,8.94110912311749e-08,2.66562234813382e-06,"355.2852_11","MG(18:1)",NA,"HMDB11536",NA,"HMDB","-0.504551766","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(18:1)",23992.936959735
"VitB2","nRPLC_375.254_10.2",-0.486890526415817,6.90710667484067e-08,2.66562234813382e-06,"375.254_10.2","MG(20:5)",NA,"HMDB11550",NA,"HMDB","-0.211661429","nRPLC",30000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(20:5)",31417.6743969735
"Cu","nRPLC_327.2538_10.5",-0.484001879133746,8.46752241343185e-08,2.86202257573997e-06,"327.2538_10.5","MG(16:1)",NA,"HMDB11534",NA,"HMDB","-0.851882898","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(16:1)",19787.7690314985
"Mg","nRPLC_355.2852_11",-0.480445232167696,1.08532424654129e-07,3.05699662775797e-06,"355.2852_11","MG(18:1)",NA,"HMDB11536",NA,"HMDB","-0.504551766","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(18:1)",23992.936959735
"VitE_a_Toco","nRPLC_439.3792_11.1",-0.495782143830942,3.64608184044541e-08,3.08093915517638e-06,"439.3792_11.1","MG(24:1)",NA,"HMDB11559",NA,"HMDB","-0.182003771","nRPLC",40000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(24:1)",48871.7068565036
"Phos","nHILIC_724.5298_4.4",0.489463227901412,5.75203835779344e-08,3.24031494155697e-06,"724.5298_4.4","PE(P-36:3)",NA,NA,NA,NA,"1.57083219","nHILIC",4e+05,"[M-H]-","YES","Y",NA,NA,"PE(P-36:3)",470907.857176351
"Cu","nHILIC_243.0621_5.8",-0.479271719209355,1.17723122818298e-07,3.31586795938207e-06,"243.0621_5.8","Pseudouridine","C02067","HMDB00767","1445-07-4","HMDB","-0.639678767","nHILIC",4e+06,"[M-H]-","YES","Y","Nucleotide","""Pyrimidine Metabolism, Uracil containing""","Pseudouridine",3621498.36168909
"Fe","nHILIC_287.052_8.1",-0.503969653471062,1.99183338549206e-08,3.36619842148159e-06,"287.052_8.1","Orotidine","C01103","HMDB00788","314-50-1","HMDB","-0.29636261","nHILIC",1e+05,"[M-H]-","YES","Y","Nucleotide","""Pyrimidine Metabolism, Orotate containing""","Orotidine",108933.221253313
"VitB2","nRPLC_439.3792_11.1",-0.475561612856445,1.51917225858594e-07,3.6677158814432e-06,"439.3792_11.1","MG(24:1)",NA,"HMDB11559",NA,"HMDB","-0.182003771","nRPLC",40000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(24:1)",48871.7068565036
"K","pHILIC_280.1384_8",-0.483559555018679,8.73433817207516e-08,3.69025787770176e-06,"280.1384_8","N-(1-Deoxy-1-fructosyl)valine",NA,"HMDB37844",NA,"HMDB","-2.443407242","pHILIC",90000,"[M+H]+","YES","Y","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","N-(1-Deoxy-1-fructosyl)valine",122188.384102992
"Ca","nHILIC_243.0621_5.8",-0.486249607800108,7.22759330108964e-08,4.0715442262805e-06,"243.0621_5.8","Pseudouridine","C02067","HMDB00767","1445-07-4","HMDB","-0.639678767","nHILIC",4e+06,"[M-H]-","YES","Y","Nucleotide","""Pyrimidine Metabolism, Uracil containing""","Pseudouridine",3621498.36168909
"Cu","nRPLC_409.3322_11.2",-0.473855505555472,1.70646012580318e-07,4.11988230372481e-06,"409.3322_11.2","MG(22:2)",NA,"HMDB11553",NA,"HMDB","-0.316713371","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(22:2)",23693.7044724771
"TransFat","nRPLC_204.0666_4.3",-0.490293713995007,5.42034804730106e-08,4.58019409996939e-06,"204.0666_4.3","Cinnamoylglycine",NA,"HMDB11621","16534-24-0","HMDB","-0.064479201","nRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Food Component/Plant","Cinnamoylglycine",37753.5388229867
"W3","pRPLC_153.0658_1.2",0.473909667692011,1.70019027018919e-07,4.78886926103288e-06,"153.0658_1.2","N1-Methyl-2-pyridone-5-carboxamide","C05842","HMDB04193",NA,NA,"-0.378209652","pRPLC",4e+05,"[M+H]+","YES","Y","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","N1-Methyl-2-pyridone-5-carboxamide",478368.264341488
"VitC","nRPLC_163.0765_7.4",0.48383939272413,8.56461937252871e-08,4.82473557985784e-06,"163.0765_7.4","Phenylbutyric acid",NA,"HMDB00329","90-27-7","HMDB","0.306989515","nRPLC",60000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Phenylbutyric acid",67820.1628722732
"Iodine","pHILIC_160.0967_7.5",0.498291656157241,3.03442962289573e-08,5.12818606269378e-06,"160.0967_7.5","Betonicine","C08269","HMDB29412",NA,NA,"-0.774954111","pHILIC",3e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","Betonicine",877702.942247655
"percent_carb_cal","nRPLC_415.3217_11.4",-0.497190359380951,3.28968167874246e-08,5.55956203707475e-06,"415.3217_11.4","Dihydroxyvitamin D3",NA,"HMDB00430",NA,"HMDB","-0.048038933","nRPLC",3e+05,"[M-H]-","YES","Y","Cofactors and Vitamins","Vitamin D Metabolism","Dihydroxyvitamin D3",352330.728501529
"W3","nRPLC_448.3069_9.4",0.467762265194853,2.5715376449285e-07,5.97284372981048e-06,"448.3069_9.4","Chenodeoxycholic acid glycine conjugate","C05466","HMDB00637","640-79-9","HMDB","0.12576723","nRPLC",2e+06,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Chenodeoxycholic acid glycine conjugate",3351197.0866318
"W3","nRPLC_464.3015_8.8",0.466335995599331,2.82738164724757e-07,5.97284372981048e-06,"464.3015_8.8","Glycocholic acid","C01921","HMDB00138","475-31-0","HMDB","-0.554713367","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Glycocholic acid",654751.648961264
"Folate","pRPLC_313.1548_3.5",-0.475724099266062,1.50239529340944e-07,6.3476201146549e-06,"313.1548_3.5","Phenylalanylphenylalanine",NA,"HMDB13302","2577-40-4","HMDB","0.40840946","pRPLC",20000,"[M+H]+","YES","Y","Peptide","Dipeptide","Phenylalanylphenylalanine",24994.2125917431
"Mg","nHILIC_188.0023_1.6",-0.466940806124015,2.71606368515298e-07,6.55735375415504e-06,"188.0023_1.6","2-Aminophenol sulfate",NA,"HMDB61116",NA,NA,"0.008428144","nHILIC",8e+05,"[M-H]-","YES","Y","Xenobiotics","Chemical","2-Aminophenol sulfate",1302559.29399942
"percent_carb_cal","pRPLC_676.417_10.7",0.484859446295611,7.97222898753489e-08,6.73653349446699e-06,"676.417_10.7","PS(28:2)",NA,"HMDB12342",NA,"HMDB","-2.093130967","pRPLC",20000,"[M+H]+","YES","Y",NA,NA,"PS(28:2)",28662.0765607863
"VitK","nRPLC_163.0765_7.4",0.489860416902696,5.59105497227576e-08,7.16866898797679e-06,"163.0765_7.4","Phenylbutyric acid",NA,"HMDB00329","90-27-7","HMDB","0.306989515","nRPLC",60000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Phenylbutyric acid",67820.1628722732
"VitK","nRPLC_495.2962_9.1",0.483974798065477,8.48363193843407e-08,7.16866898797679e-06,"495.2962_9.1","Pregnanediol-3-glucuronide","C03033","HMDB10318",NA,"HMDB","-0.278829397","nRPLC",50000,"[M-H]-","YES","Y","Lipid","Progestin Steroids","Pregnanediol-3-glucuronide",91095.2326315556
"Iodine","pHILIC_790.5707_2",0.482358960992068,9.49960790384926e-08,8.02716867875263e-06,"790.5707_2","PC(P-38:6)",NA,NA,NA,NA,"-4.838662612","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-38:6)",36436730.7765017
"TotFib","nHILIC_481.244_5.2",-0.472077182072447,1.92500263953168e-07,8.13313615202135e-06,"481.244_5.2","11-beta-Hydroxyandrosterone-3-glucuronide",NA,"HMDB10351",NA,"HMDB","-0.627917462","nHILIC",70000,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","11-beta-Hydroxyandrosterone-3-glucuronide",74266.6266585525
"Caff","pRPLC_277.0384_5.1",0.484480760158594,8.1874319138131e-08,8.39238775781762e-06,"277.0384_5.1","Dihydroferulic acid",NA,NA,NA,NA,"2.70466605368801|3.44210826679891","pRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Food Component/Plant","Dihydroferulic acid",41240.1928245056
